    LR05     LR05     LR05     HW04    HW04      HW04     Shack.  Shack.    Shack.   
    age      adjusted d18O     age     adjusted  d18O     age     adjusted  d18O
             age                       age                        age

    52.0     48.9    4.310     62.6     60.9    0.468    156.0    151.5    4.680 
    53.0     49.8    4.440     63.6     61.8    0.554    159.0    154.4    4.710 
    54.0     50.8    4.380     64.6     62.6    0.604    162.0    157.3    4.640 
    55.0     51.8    4.310     65.6     63.5    0.597    165.0    160.2    4.470 
    56.0     52.9    4.350     66.6     64.4    0.597    168.0    163.2    4.430 
    57.0     54.0    4.430     67.6     65.2    0.722    171.0    165.5    4.540 
    58.0     55.1    4.490     68.6     66.1    0.618    174.0    167.9    4.610 
    59.0     56.2    4.430     69.6     66.9    0.616    177.0    170.2    4.540 
    60.0     57.3    4.600     70.6     67.8    0.525    180.0    172.6    4.620 
    61.0     58.4    4.510     71.6     68.7    0.463    183.0    174.9    4.650 
    62.0     59.5    4.600     72.6     69.5    0.488    186.0    177.3    4.610 
    63.0     60.6    4.530     73.6     70.4    0.495    189.0    179.4    4.380 
    64.0     61.7    4.360     74.6     71.2    0.419    192.0    181.5    4.110 
    65.0     62.8    4.480     75.6     72.1    0.313    195.0    183.5    3.960 
    66.0     63.8    4.570     76.6     73.0    0.227    198.0    185.6    3.860 
    67.0     64.9    4.440     77.6     73.8    0.021    201.0    187.6    4.070 
    68.0     66.0    4.420     78.6     74.7   -0.027    204.0    189.8    3.950 
    69.0     67.1    4.470     79.6     75.6   -0.125    207.0    193.3    3.840 
    70.0     68.2    4.320     80.6     76.4   -0.310    210.0    196.9    3.790 
    71.0     69.3    4.220     81.6     77.3   -0.469    213.0    200.4    3.750 
    72.0     70.4    4.210     82.6     78.1   -0.659    216.0    204.0    3.820 
    73.0     71.5    4.230     83.6     79.0   -0.939    219.0    206.9    3.990 
    74.0     72.6    4.030     84.6     79.9   -1.216    222.0    209.8    4.190 
    75.0     73.7    3.950     85.6     80.8   -1.127    225.0    212.7    4.580 
    76.0     74.8    4.060     86.6     81.8   -0.907    228.0    215.5    4.570 
    77.0     75.9    4.080     87.6     82.9   -0.790    231.0    218.4    4.430 
    78.0     77.0    4.050     88.6     84.0   -0.782    234.0    221.7    4.040 
    79.0     78.0    4.050     89.6     85.2   -0.762    237.0    225.4    3.750 
    80.0     79.1    3.900     90.6     86.3   -0.708    240.0    229.2    3.930 
    81.0     80.2    3.820     91.6     87.4   -0.735    243.0    233.5    4.420 
    82.0     81.3    3.800     92.6     88.5   -0.757    246.0    238.5    4.740 
    83.0     82.2    3.830     93.6     89.6   -0.839    249.0    243.6    4.800 
    84.0     83.2    3.820     94.6     90.7   -0.848    252.0    248.4    4.720 
    85.0     84.2    3.950     95.6     91.8   -0.908    255.0    252.0    4.710 
    86.0     85.2    4.060     96.6     92.9   -1.015    258.0    254.1    4.680 
    87.0     86.1    4.180     97.6     94.0   -1.060    261.0    256.3    4.710 
    88.0     87.1    4.110     98.6     95.2   -1.073    264.0    258.5    4.710 
    89.0     88.1    4.080     99.6     96.3   -1.084    267.0    260.7    4.730 
    90.0     89.1    4.060    100.6     97.4   -1.075    270.0    262.9    4.690 
    91.0     90.0    4.030    101.6     98.4   -1.238    273.0    264.9    4.530 
    92.0     91.0    3.980    102.6     99.4   -1.269    276.0    266.4    4.540 
    93.0     92.0    3.900    103.6    100.4   -1.487    279.0    267.9    4.330 
    94.0     93.0    3.840    104.6    101.3   -1.494    282.0    269.3    4.080 
    95.0     93.9    3.770    105.6    102.3   -1.460    285.0    270.8    3.990 
    96.0     94.9    3.750    106.6    103.3   -1.518    288.0    272.3    4.000 
    97.0     95.9    3.830    107.6    104.3   -1.487    291.0    273.7    4.180 
    98.0     96.8    3.900    108.6    105.3   -1.393    294.0    275.3    4.350 
    99.0     97.8    3.780    109.6    106.3   -1.225    297.0    277.0    4.370 
   100.0     98.6    3.810    110.6    107.3   -1.139    300.0    278.7    4.280 
   101.0     99.4    3.920    111.6    108.2   -1.148    303.0    280.4    4.300 
   102.0    100.3    3.860    112.6    109.2   -1.136    306.0    282.2    4.230 
   103.0    101.1    3.880    113.6    110.2   -1.340    309.0    285.4    4.270 
   104.0    101.9    3.920    114.6    111.2   -1.313    312.0    289.2    4.170 
   105.0    102.7    3.850    115.6    112.2   -1.440    315.0    293.0    3.880 
   106.0    103.6    4.000    116.6    113.2   -1.515    318.0    296.7    3.980 
   107.0    104.4    4.040    117.6    114.2   -1.512    321.0    302.3    3.730 
   108.0    105.2    4.110    118.6    115.1   -1.769    324.0    308.9    3.610 
   109.0    106.1    4.120    119.6    116.1   -1.868    327.0    313.0    3.430 
   110.0    106.9    4.040    120.6    117.1   -2.042    330.0    317.0    3.590 
   111.0    107.7    4.020    121.6    118.1   -2.082    333.0    321.1    3.710 
   112.0    108.5    4.030    122.6    119.1   -2.191    336.0    324.6    4.250 
   113.0    109.4    3.930    123.6    120.1   -2.346    339.0    326.9    4.720 
   114.0    110.2    3.810    124.6    121.1   -2.159    342.0    329.1    5.170 
   115.0    111.0    3.710    125.6    122.0   -1.800    345.0    331.3    5.140 
   116.0    111.8    3.580    126.6    123.0   -1.148    348.0    333.5    5.040 
   117.0    112.7    3.540    127.6    124.0   -0.608    351.0    335.7    4.760 
   118.0    113.5    3.440    128.6    125.0    0.280    354.0    338.0    4.800 
   119.0    114.3    3.300    129.6    126.0    0.816    357.0    340.2    4.870 
   120.0    115.2    3.270    130.6    127.0    1.209    360.0    342.4    4.810 
   121.0    116.0    3.260    131.6    128.1    1.371    363.0    344.6    4.770 
   122.0    116.8    3.180    132.6    129.1    1.638    366.0    346.9    4.640 
   123.0    117.6    3.100    133.6    130.1    1.734    369.0    349.1    4.580 
   124.0    118.5    3.270    134.6    131.1    1.674    372.0    351.6    4.620 
   125.0    119.3    3.140    135.6    132.1    1.639    375.0    354.5    4.450 
