    LR05     LR05     LR05     HW04    HW04      HW04     Shack.  Shack.    Shack.   
    age      adjusted d18O     age     adjusted  d18O     age     adjusted  d18O
             age                       age                        age

   326.0    309.2    3.230    336.6    330.1    1.672   1008.0   1002.8    4.280 
   327.0    310.7    3.220    337.6    331.1    1.711   1011.0   1005.5    4.170 
   328.0    312.3    3.230    338.6    332.1    1.553   1014.0   1008.3    4.010 
   329.0    313.8    3.190    339.6    333.1    1.342   1017.0   1011.0    3.940 
   330.0    315.4    3.300    340.6    334.1    1.171   1020.0   1013.8    4.000 
   331.0    316.9    3.290    341.6    335.1    1.114   1023.0   1016.5    3.860 
   332.0    318.4    3.390    342.6    336.1    1.030   1026.0   1019.4    3.900 
   333.0    320.0    3.380    343.6    337.1    1.065   1029.0   1022.9    3.990 
   334.0    321.5    3.510    344.6    338.1    1.030   1032.0   1026.6    4.090 
   335.0    323.0    3.750    345.6    339.1    1.060   1035.0   1030.4    4.370 
   336.0    324.3    4.080    346.6    340.1    0.944   1038.0   1034.2    4.550 
   337.0    325.2    4.230    347.6    341.1    0.860   1041.0   1038.0    4.520 
   338.0    326.0    4.170    348.6    342.1    0.861   1044.0   1041.4    4.420 
   339.0    326.8    4.420    349.6    343.1    0.968   1047.0   1044.7    4.270 
   340.0    327.7    4.600    350.6    344.1    1.048   1050.0   1048.1    4.290 
   341.0    328.5    4.840    351.6    345.1    1.018   1053.0   1051.4    4.360 
   342.0    329.3    4.830    352.6    346.1    0.981   1056.0   1054.8    4.370 
   343.0    330.2    4.800    353.6    347.1    0.939   1059.0   1058.1    4.290 
   344.0    331.0    4.760    354.6    348.1    0.857   1062.0   1061.5    3.740 
   345.0    331.8    4.790    355.6    349.1    0.901   1065.0   1064.8    3.530 
   346.0    332.6    4.680    356.6    350.1    0.892   1068.0   1068.2    3.450 
   347.0    333.5    4.530    357.6    351.2    0.762   1071.0   1071.2    3.440 
   348.0    334.3    4.490    358.6    352.2    0.679   1074.0   1073.6    3.550 
   349.0    335.1    4.620    359.6    353.2    0.676   1077.0   1076.1    3.730 
   350.0    336.0    4.670    360.6    354.2    0.839   1080.0   1078.5    3.920 
   351.0    336.8    4.640    361.6    355.2    0.808   1083.0   1081.0    4.050 
   352.0    337.6    4.470    362.6    356.2    0.646   1086.0   1083.0    4.110 
   353.0    338.5    4.470    363.6    357.2    0.587   1089.0   1084.3    4.190 
   354.0    339.3    4.400    364.6    358.2    0.360   1092.0   1085.7    4.170 
   355.0    340.1    4.590    365.6    359.2    0.184   1095.0   1087.0    4.240 
   356.0    341.0    4.460    366.6    360.2    0.130   1098.0   1088.3    4.370 
   357.0    341.8    4.550    367.6    361.2    0.051   1101.0   1089.7    4.240 
   358.0    342.6    4.580    368.6    362.2   -0.023   1104.0   1093.5    4.050 
   359.0    343.5    4.490    369.6    363.2   -0.005   1107.0   1099.0    3.880 
   360.0    344.3    4.540    370.6    364.2   -0.308   1110.0   1103.0    3.800 
   361.0    345.1    4.500    371.6    365.2   -0.760   1113.0   1105.3    3.850 
   362.0    345.9    4.500    372.6    366.4   -0.438   1116.0   1107.6    4.220 
   363.0    346.8    4.530    373.6    367.5   -0.172   1119.0   1109.9    4.410 
   364.0    347.6    4.360    374.6    368.6   -0.142   1122.0   1111.8    4.400 
   365.0    348.4    4.460    375.6    369.8   -0.119   1125.0   1113.7    4.510 
   366.0    349.3    4.320    376.6    370.9   -0.156   1128.0   1115.5    4.630 
   367.0    350.1    4.370    377.6    372.0   -0.304   1131.0   1117.4    4.630 
   368.0    350.9    4.400    378.6    373.2   -0.324   1134.0   1119.4    4.610 
   369.0    351.8    4.380    379.6    374.3   -0.405   1137.0   1122.2    4.390 
   370.0    352.6    4.360    380.6    375.4   -0.513   1140.0   1125.1    4.270 
   371.0    353.4    4.270    381.6    376.6   -0.634   1143.0   1128.0    4.120 
   372.0    354.3    4.420    382.6    377.7   -0.653   1146.0   1130.9    4.090 
   373.0    355.1    4.290    383.6    378.8   -0.704   1149.0   1133.8    3.990 
   374.0    355.9    4.340    384.6    379.9   -0.899   1152.0   1136.7    3.960 
   375.0    356.8    4.200    385.6    381.1   -0.956   1155.0   1139.6    3.940 
   376.0    357.6    4.210    386.6    382.2   -1.167   1158.0   1142.5    3.790 
   377.0    358.4    4.200    387.6    383.3   -1.213   1161.0   1145.4    3.770 
   378.0    359.2    4.190    388.6    384.5   -1.203   1164.0   1148.5    3.730 
   379.0    360.1    4.170    389.6    385.6   -1.303   1167.0   1151.9    3.810 
   380.0    360.9    4.190    390.6    386.7   -1.408   1170.0   1155.3    3.860 
   381.0    361.7    4.150    391.6    387.9   -1.404   1173.0   1158.2    3.870 
   382.0    362.6    4.050    392.6    389.0   -1.366   1176.0   1160.4    3.750 
   383.0    363.4    4.120    393.6    390.1   -1.484   1179.0   1162.7    3.600 
   384.0    364.2    4.080    394.6    391.3   -1.613   1182.0   1164.9    3.740 
   385.0    365.2    4.140    395.6    392.4   -1.739   1185.0   1167.2    3.990 
   386.0    367.0    4.020    396.6    393.5   -1.859   1188.0   1169.6    4.000 
   387.0    368.7    3.990    397.6    394.7   -1.975   1191.0   1172.4    4.260 
   388.0    370.5    3.920    398.6    395.8   -2.029   1194.0   1175.1    4.400 
   389.0    372.2    3.890    399.6    396.9   -2.136   1197.0   1177.8    4.500 
   390.0    374.0    3.960    400.6    398.0   -2.127   1200.0   1180.6    4.420 
   391.0    375.8    4.000    401.6    399.2   -2.233   1203.0   1184.3    4.450 
   392.0    377.5    3.970    402.6    400.3   -2.238   1206.0   1188.5    4.460 
   393.0    379.3    3.860    403.6    401.5   -2.333   1209.0   1192.7    4.350 
   394.0    381.0    3.920    404.6    402.8   -2.301   1212.0   1196.9    4.270 
   395.0    382.8    3.760    405.6    404.1   -2.180   1215.0   1201.1    4.230 
   396.0    384.5    3.720    406.6    405.3   -2.021   1218.0   1205.3    4.160 
   397.0    386.3    3.470    407.6    406.6   -1.940   1221.0   1209.5    3.970 
   398.0    388.1    3.540    408.6    407.8   -1.763   1224.0   1213.7    3.740 
   399.0    389.8    3.480    409.6    409.1   -1.695   1227.0   1216.3    3.570 
   400.0    391.6    3.320    410.6    410.4   -1.539   1230.0   1218.7    3.570 
   401.0    393.3    3.200    411.6    411.6   -1.361   1233.0   1221.2    3.510 
   402.0    395.1    3.170    412.6    412.9   -1.140   1236.0   1223.6    3.440 
   403.0    396.8    3.150    413.6    414.1   -0.948   1239.0   1226.0    3.380 
   404.0    398.6    3.200    414.6    415.4   -0.886   1242.0   1229.0    3.300 
   405.0    400.3    3.110    415.6    416.7   -0.814   1245.0   1233.2    3.860 
   406.0    401.5    3.190    416.6    417.9   -0.619   1248.0   1237.3    4.220 
   407.0    402.6    3.210    417.6    419.2   -0.496   1251.0   1241.6    4.330 
   408.0    403.6    3.170    418.6    420.4   -0.079   1254.0   1246.0    4.000 
   409.0    404.7    3.220    419.6    421.5    0.470   1257.0   1250.5    4.230 
   410.0    405.8    3.150    420.6    422.6    0.920   1260.0   1254.9    4.250 
   411.0    406.9    3.290    421.6    423.8    1.207   1263.0   1259.3    4.070 
   412.0    408.0    3.310    422.6    424.9    1.445   1266.0   1263.8    3.960 
   413.0    409.0    3.380    423.6    426.0    1.502   1269.0   1268.2    3.940 
   414.0    410.1    3.410    424.6    427.1    1.549   1272.0   1270.7    3.830 
   415.0    411.2    3.410    425.6    428.2    1.659   1275.0   1273.0    3.710 
   416.0    412.3    3.510    426.6    429.3    1.713   1278.0   1274.9    3.620 
   417.0    413.3    3.570    427.6    430.5    1.671   1281.0   1276.4    3.870 
   418.0    414.4    3.750    428.6    431.6    1.580   1284.0   1277.9    4.000 
   419.0    415.5    3.810    429.6    432.7    1.441   1287.0   1280.0    4.350 
   420.0    416.6    3.770    430.6    433.8    1.406   1290.0   1282.5    4.330 
   421.0    417.7    3.850    431.6    434.9    1.605   1293.0   1285.1    4.280 
   422.0    418.7    3.940    432.6    436.0    1.659   1296.0   1288.0    4.340 
   423.0    419.8    4.020    433.6    437.1    1.559   1299.0   1290.9    4.270 
   424.0    420.7    3.920    434.6    438.3    1.466   1302.0   1293.8    4.270 
   425.0    421.5    4.300    435.6    439.4    1.392   1305.0   1296.7    4.250 
   426.0    422.3    4.500    436.6    440.5    1.393   1308.0   1299.6    4.040 
   427.0    423.1    4.300    437.6    441.6    1.379   1311.0   1302.5    3.900 
   428.0    423.9    4.720    438.6    442.7    1.222   1314.0   1305.4    3.780 
   429.0    424.7    4.910    439.6    443.8    1.026   1317.0   1309.1    3.970 
   430.0    425.5    4.980    440.6    444.9    1.136   1320.0   1313.5    4.100 
   431.0    426.3    5.050    441.6    446.1    1.243   1323.0   1317.9    4.210 
   432.0    427.1    5.050    442.6    447.2    1.225   1326.0   1322.4    4.260 
   433.0    427.9    5.080    443.6    448.3    1.173   1329.0   1326.5    4.300 
   434.0    428.7    5.080    444.6    449.4    1.153   1332.0   1330.0    4.340 
   435.0    429.5    5.020    445.6    450.5    1.008   1335.0   1333.4    4.280 
   436.0    430.3    5.070    446.6    451.5    0.803   1338.0   1336.8    4.160 
   437.0    431.2    4.900    447.6    452.5    0.699   1341.0   1340.2    3.840 
   438.0    432.0    4.790    448.6    453.4    0.740   1344.0   1343.7    3.560 
   439.0    432.8    4.870    449.6    454.4    0.787   1347.0   1347.1    3.570 
   440.0    433.6    4.760    450.6    455.3    0.944   1350.0   1350.5    3.600 
   441.0    434.4    4.950    451.6    456.3    0.923   1353.0   1353.9    3.590 
   442.0    435.2    4.960    452.6    457.2    0.594   1356.0   1357.3    4.030 
   443.0    436.0    4.910    453.6    458.2    0.498   1359.0   1360.6    4.120 
   444.0    436.8    4.820    454.6    459.1    0.576   1362.0   1364.0    4.290 
   445.0    437.6    4.910    455.6    460.1    0.587   1365.0   1367.2    4.360 
   446.0    438.4    4.820    456.6    461.0    0.522   1368.0   1369.7    4.340 
   447.0    439.2    4.510    457.6    462.0    0.481   1371.0   1372.3    4.280 
   448.0    440.0    4.770    458.6    462.9    0.434   1377.0   1377.5    4.110 
   449.0    440.8    4.730    459.6    463.9    0.442   1380.0   1380.1    4.120 
   450.0    441.6    4.750    460.6    464.8    0.534   1383.0   1382.7    3.860 
   451.0    442.4    4.580    461.6    465.8    0.534   1386.0   1385.3    3.790 
   452.0    443.2    4.730    462.6    466.7    0.411   1389.0   1387.9    3.770 
   453.0    444.0    4.560    463.6    467.7    0.284   1392.0   1390.5    3.720 
   454.0    444.8    4.600    464.6    468.6    0.268   1395.0   1393.1    3.560 
   455.0    445.6    4.410    465.6    469.6    0.313   1398.0   1395.5    3.530 
   456.0    446.4    4.620    466.6    470.5    0.244   1401.0   1397.0    3.660 
   457.0    447.2    4.630    467.6    471.5    0.260   1404.0   1399.5    3.790 
   458.0    448.0    4.550    468.6    472.5    0.221   1407.0   1402.5    3.780 
   459.0    448.8    4.630    469.6    473.4    0.074   1410.0   1405.4    3.780 
   460.0    449.6    4.560    470.6    474.4    0.020   1413.0   1407.3    4.150 
   461.0    450.4    4.590    471.6    475.3   -0.070   1416.0   1409.1    4.330 
   462.0    451.4    4.610    472.6    476.3   -0.161   1419.0   1411.3    4.170 
   463.0    452.8    4.610    473.6    477.2   -0.238   1422.0   1414.8    4.200 
   464.0    454.1    4.440    474.6    478.2   -0.349   1425.0   1418.3    4.100 
   465.0    455.5    4.570    475.6    479.1   -0.377   1428.0   1421.8    4.000 
   466.0    456.8    4.460    476.6    480.1   -0.426   1431.0   1425.3    3.900 
   467.0    458.2    4.440    477.6    481.0   -0.440   1434.0   1428.8    3.650 
   468.0    459.5    4.380    478.6    482.0   -0.450   1437.0   1431.7    3.430 
   469.0    460.9    4.510    479.6    482.9   -0.623   1440.0   1434.7    3.310 
   470.0    462.2    4.330    480.6    483.9   -0.786   1443.0   1437.3    3.380 
   471.0    463.6    4.250    481.6    484.8   -0.825   1446.0   1439.9    3.410 
   472.0    464.9    4.320    482.6    485.8   -0.986   1449.0   1442.4    3.460 
   473.0    466.3    4.360    483.6    486.7   -1.200   1452.0   1445.0    3.470 
   474.0    467.6    4.390    484.6    488.0   -1.401   1455.0   1447.6    3.810 
   475.0    468.9    4.350    485.6    489.5   -1.219   1458.0   1450.6    4.260 
   476.0    470.3    4.300    486.6    490.9   -0.980   1461.0   1454.5    4.180 
   477.0    471.6    4.270    487.6    492.3   -0.985   1464.0   1458.0    4.270 
   478.0    473.0    4.220    488.6    493.8   -0.959   1467.0   1461.5    4.060 
   479.0    474.3    4.120    489.6    495.2   -0.912   1470.0   1465.0    3.600 
   480.0    475.7    4.120    490.6    496.6   -0.875   1473.0   1468.5    3.470 
   481.0    477.0    4.170    491.6    498.0   -0.895   1476.0   1471.8    3.520 
   482.0    478.4    4.010    492.6    499.5   -0.808   1479.0   1473.8    3.520 
   483.0    479.7    3.970    493.6    500.9   -0.763   1482.0   1475.7    3.540 
   484.0    481.1    3.790    494.6    502.3   -0.806   1485.0   1477.5    3.540 
   485.0    482.4    3.810    495.6    503.8   -0.757   1488.0   1479.1    3.390 
   486.0    483.8    3.760    496.6    505.0   -0.756   1491.0   1480.3    3.470 
   487.0    485.1    3.720    497.6    505.9   -0.775   1494.0   1481.6    3.670 
   488.0    486.5    3.670    498.6    506.8   -0.739   1497.0   1482.9    3.960 
   489.0    487.9    3.600    499.6    507.7   -0.595   1500.0   1485.6    4.210 
   490.0    489.4    3.540    500.6    508.6   -0.634   1503.0   1488.4    4.210 
   491.0    491.0    3.470    501.6    509.5   -0.631   1506.0   1491.2    4.200 
   492.0    492.5    3.630    502.6    510.4   -0.481   1509.0   1495.7    4.320 
   493.0    494.0    3.720    503.6    511.3   -0.382   1512.0   1499.7    4.220 
   494.0    495.6    3.830    504.6    512.1   -0.288   1515.0   1503.3    3.950 
   495.0    497.1    3.830    505.6    513.0   -0.212   1518.0   1507.0    3.730 
   496.0    498.6    3.830    506.6    513.9   -0.113   1521.0   1510.7    3.830 
   497.0    500.1    3.680    507.6    514.8   -0.035   1524.0   1513.3    3.740 
   498.0    501.7    3.820    508.6    515.7   -0.022   1527.0   1515.4    3.770 
   499.0    503.2    3.750    509.6    516.6    0.026   1530.0   1517.5    3.850 
   500.0    504.6    3.840    510.6    517.5    0.067   1533.0   1519.7    4.000 
   501.0    505.7    3.780    511.6    518.4    0.123   1536.0   1523.3    4.250 
   502.0    506.7    3.750    512.6    519.3    0.149   1539.0   1527.1    4.410 
   503.0    507.7    3.810    513.6    520.2    0.179   1542.0   1530.9    4.530 
   504.0    508.7    3.910    514.6    521.1    0.029   1545.0   1535.0    4.270 
   505.0    509.7    3.860    515.6    522.0   -0.170   1548.0   1539.0    4.000 
   506.0    510.7    4.010    516.6    522.9   -0.318   1551.0   1542.4    3.830 
   507.0    511.7    3.930    517.6    523.7   -0.440   1554.0   1544.9    3.800 
   508.0    512.7    4.160    518.6    524.6   -0.433   1557.0   1547.3    3.900 
   509.0    513.7    4.060    519.6    525.5   -0.432   1560.0   1549.8    3.900 
   510.0    514.7    4.140    520.6    526.4   -0.448   1563.0   1552.3    3.610 
   511.0    515.7    4.060    521.6    527.3   -0.481   1566.0   1555.6    3.510 
   512.0    516.7    4.220    522.6    528.2   -0.557   1569.0   1559.4    3.980 
   513.0    517.7    4.250    523.6    529.1   -0.736   1572.0   1563.8    4.340 
   514.0    518.7    4.100    524.6    530.0   -0.730   1575.0   1568.2    4.400 
   515.0    519.7    4.100    525.6    530.9   -0.705   1578.0   1571.4    4.170 
   516.0    520.7    4.010    526.6    531.8   -0.698   1581.0   1574.7    4.230 
   517.0    521.7    3.960    527.6    532.7   -0.537   1584.0   1578.0    4.030 
   518.0    522.7    4.070    528.6    533.6   -0.557   1587.0   1581.3    3.930 
   519.0    523.7    3.960    529.6    534.5   -0.596   1590.0   1584.6    3.790 
   520.0    524.7    3.950    530.6    535.3   -0.421   1593.0   1587.9    3.790 
   521.0    525.7    3.910    531.6    536.2   -0.058   1596.0   1591.2    3.840 
   522.0    526.7    3.880    532.6    537.0    0.262   1599.0   1594.4    3.830 
   523.0    527.7    3.930    533.6    537.8    0.497   1602.0   1597.4    3.710 
   524.0    528.7    3.830    534.6    538.6    0.601   1605.0   1599.8    3.570 
   525.0    529.7    3.920    535.6    539.4    0.660   1608.0   1602.1    3.460 
   526.0    530.7    3.970    536.6    540.2    0.711   1611.0   1604.3    3.550 
   527.0    531.7    3.960    537.6    541.0    0.726   1614.0   1606.4    3.690 
   528.0    532.7    3.920    538.6    541.7    0.722   1617.0   1608.6    3.780 
   529.0    533.7    3.990    539.6    542.5    0.706   1620.0   1610.8    3.880 
   530.0    534.7    3.970    540.6    543.3    0.760   1623.0   1616.9    3.830 
   531.0    535.7    3.920    541.6    544.1    0.798   1626.0   1622.6    3.720 
   532.0    536.4    4.010    542.6    544.9    0.801   1629.0   1627.4    3.760 
   533.0    537.1    4.110    543.6    545.6    0.744   1632.0   1629.1    3.930 
   534.0    537.6    4.270    544.6    546.4    0.698   1635.0   1630.6    3.650 
   535.0    538.2    4.290    545.6    547.2    0.677   1638.0   1632.1    3.610 
   536.0    538.8    4.550    546.6    548.0    0.624   1641.0   1633.6    3.640 
   537.0    539.3    4.430    547.6    548.8    0.541   1644.0   1635.7    3.790 
   538.0    539.9    4.540    548.6    549.8    0.490   1647.0   1639.2    4.120 
   539.0    540.4    4.480    549.6    550.8    0.506   1650.0   1642.7    4.240 
   540.0    541.0    4.530    550.6    551.8    0.543   1653.0   1647.1    4.310 
   541.0    541.5    4.500    551.6    552.8    0.566   1656.0   1652.2    4.280 
   542.0    542.1    4.450    552.6    553.8    0.502   1659.0   1656.3    4.220 
   543.0    542.6    4.450    553.6    554.8    0.373   1662.0   1660.4    4.250 
   544.0    543.2    4.460    554.6    555.8    0.366   1665.0   1664.4    4.190 
   545.0    543.7    4.430    555.6    556.7    0.369   1668.0   1668.5    4.070 
   546.0    544.3    4.510    556.6    557.7    0.313   1671.0   1671.6    3.940 
   547.0    544.8    4.530    557.6    558.7    0.328   1674.0   1673.6    3.790 
   548.0    545.4    4.550    558.6    559.7    0.320   1677.0   1675.5    3.750 
   549.0    545.9    4.530    559.6    560.7    0.016   1680.0   1678.1    3.810 
   550.0    546.5    4.500    560.6    561.7    0.024   1683.0   1681.1    3.780 
   551.0    547.1    4.450    561.6    562.7   -0.022   1686.0   1684.1    3.980 
   552.0    547.6    4.520    562.6    563.7   -0.186   1689.0   1687.1    3.990 
   553.0    548.2    4.460    563.6    564.7   -0.367   1692.0   1690.1    4.000 
   554.0    548.9    4.290    564.6    565.7   -0.520   1695.0   1693.1    4.080 
   555.0    550.2    4.250    565.6    566.7   -0.559   1698.0   1696.2    4.390 
   556.0    551.5    4.390    566.6    567.6   -0.669   1701.0   1699.5    4.470 
   557.0    552.8    4.350    567.6    568.6   -0.776   1704.0   1702.7    4.310 
   558.0    554.1    4.250    568.6    569.6   -0.800   1707.0   1705.9    4.150 
   559.0    555.4    4.170    569.6    570.6   -0.869   1710.0   1709.1    3.960 
   560.0    556.7    4.140    570.6    571.6   -0.961   1713.0   1712.3    3.900 
   561.0    558.0    4.210    571.6    572.6   -1.040   1716.0   1715.5    4.000 
   562.0    559.3    4.140    572.6    573.6   -1.097   1719.0   1718.6    4.130 
   563.0    560.6    4.170    573.6    574.6   -1.211   1722.0   1721.8    4.120 
   564.0    561.9    4.010    574.6    575.4   -1.478   1725.0   1725.0    4.040 
   565.0    563.2    3.960    575.6    576.1   -1.704   1728.0   1728.2    4.060 
   566.0    564.5    3.860    576.6    576.7   -1.531   1731.0   1731.4    4.060 
   567.0    565.8    3.940    577.6    577.2   -1.365   1734.0   1734.1    3.900 
   568.0    567.1    4.000    578.6    577.8   -1.198   1737.0   1737.4    3.980 
   569.0    568.4    3.970    579.6    578.4   -0.986   1740.0   1740.7    4.000 
   570.0    569.7    3.910    580.6    578.9   -0.797   1743.0   1744.0    4.160 
   571.0    571.0    3.890    581.6    579.5   -0.683   1746.0   1747.4    4.330 
   572.0    572.3    3.590    582.6    580.1   -0.819   1749.0   1750.7    4.460 
   573.0    573.6    3.650    583.6    580.6   -0.805   1752.0   1754.3    4.460 
   574.0    574.9    3.730    584.6    581.2   -0.511   1755.0   1757.5    4.090 
   575.0    576.0    3.390    585.6    581.8   -0.366   1758.0   1760.6    3.730 
   576.0    577.0    3.460    586.6    582.3   -0.325   1761.0   1763.8    3.730 
   577.0    578.0    3.480    587.6    582.9   -0.468   1764.0   1767.0    3.450 
   578.0    578.9    3.500    588.6    583.4   -0.612   1767.0   1770.1    3.430 
   579.0    579.9    3.570    589.6    584.0   -0.651   1770.0   1773.7    3.600 
   580.0    580.9    3.690    590.6    584.6   -0.468   1773.0   1777.6    3.820 
   581.0    581.8    4.000    591.6    585.1   -0.350   1776.0   1781.8    3.960 
   582.0    582.8    4.130    592.6    585.7   -0.376   1779.0   1786.0    4.100 
   583.0    583.7    4.290    593.6    586.3   -0.402   1782.0   1790.2    4.180 
   584.0    584.7    4.310    594.6    586.8   -0.419   1785.0   1794.4    4.230 
   585.0    585.7    4.330    595.6    587.4   -0.510   1788.0   1797.1    4.310 
   586.0    586.6    4.180    596.6    587.9   -0.500   1791.0   1798.8    4.240 
   587.0    587.6    4.110    597.6    588.5   -0.448   1794.0   1800.5    4.220 
   588.0    588.6    4.190    598.6    589.1   -0.476   1797.0   1802.1    4.080 
   589.0    589.5    4.070    599.6    589.6   -0.488   1800.0   1803.7    3.940 
   590.0    590.5    4.090    600.6    590.2   -0.563   1803.0   1805.2    3.710 
   591.0    591.4    4.070    601.6    590.8   -0.724   1806.0   1806.7    3.860 
   592.0    592.4    4.020    602.6    591.3   -0.850   1809.0   1808.2    3.750 
   593.0    593.4    3.990    603.6    591.9   -0.937   1812.0   1809.7    3.800 
   594.0    594.3    3.900    604.6    592.5   -0.949   1815.0   1811.2    3.920 
   595.0    595.3    3.880    605.6    593.0   -0.811   1818.0   1812.7    4.080 
   596.0    596.3    3.890    606.6    593.6   -0.758   1821.0   1814.2    3.890 
   597.0    597.2    3.800    607.6    594.1   -0.744   1824.0   1815.7    3.680 
   598.0    598.2    3.990    608.6    594.7   -0.790   1827.0   1817.3    3.800 
   599.0    599.2    4.020    609.6    595.3   -0.872   1830.0   1819.8    3.910 
   600.0    600.2    4.070    610.6    595.8   -0.934   1833.0   1822.4    3.990 
   602.0    602.2    3.970    611.6    596.4   -0.922   1836.0   1825.0    4.100 
   604.0    604.2    3.770    612.6    597.0   -1.035   1839.0   1828.2    4.010 
   606.0    606.1    3.800    613.6    597.5   -1.136   1842.0   1831.3    4.030 
   608.0    608.1    3.800    614.6    598.5   -1.154   1845.0   1834.5    3.930 
   610.0    610.1    3.490    615.6    601.2   -1.070   1848.0   1837.7    3.820 
   612.0    612.1    3.520    616.6    603.8   -1.011   1851.0   1841.2    3.840 
   614.0    614.1    3.530    617.6    606.5   -1.108   1854.0   1845.8    3.700 
   616.0    616.1    3.660    618.6    609.2   -1.224   1857.0   1852.3    3.810 
   618.0    618.1    3.810    619.6    611.8   -1.166   1860.0   1859.3    4.020 
   620.0    620.1    4.090    620.6    614.5   -1.023   1863.0   1864.1    4.130 
   622.0    621.8    4.310    621.6    617.2   -0.868   1866.0   1866.1    3.890 
   624.0    623.5    4.630    622.6    619.8   -0.437   1869.0   1868.2    3.770 
   626.0    625.1    4.900    623.6    621.6    0.311   1872.0   1870.2    3.950 
   628.0    626.7    5.010    624.6    622.8    1.092   1875.0   1872.2    4.440 
   630.0    628.3    5.080    625.6    623.9    1.423   1878.0   1874.3    4.390 
   632.0    629.9    5.050    626.6    625.0    1.887   1881.0   1876.3    4.260 
   634.0    631.5    4.930    627.6    626.2    2.115   1884.0   1878.4    3.990 
   636.0    633.1    5.000    628.6    627.3    2.098   1887.0   1880.4    3.750 
   638.0    634.7    4.800    629.6    628.4    1.870   1890.0   1882.5    3.640 
   640.0    636.3    5.010    630.6    629.5    1.845   1893.0   1884.5    3.560 
   642.0    637.9    4.750    631.6    630.7    2.149   1896.0   1886.6    3.610 
   644.0    639.5    4.680    632.6    631.8    2.077   1899.0   1888.6    3.610 
   646.0    641.1    4.720    633.6    632.9    1.903   1902.0   1890.7    3.630 
   648.0    642.7    4.750    634.6    634.1    1.715   1905.0   1893.4    3.780 
   650.0    644.3    4.710    635.6    635.2    1.629   1908.0   1896.1    4.000 
   652.0    645.9    4.790    636.6    636.3    1.556   1911.0   1898.8    4.090 
   654.0    647.5    4.770    637.6    637.4    1.563   1914.0   1903.3    4.190 
   656.0    649.6    4.570    638.6    638.6    1.550   1916.0   1906.7    4.230 
   658.0    651.7    4.580    639.6    639.7    1.427   1919.0   1911.4    4.010 
   660.0    653.9    4.640    640.6    640.8    1.426   1922.0   1916.2    3.860 
   662.0    656.1    4.800    641.6    641.9    1.442   1925.0   1921.0    3.890 
   664.0    658.3    4.580    642.6    643.1    1.465   1928.0   1925.8    3.830 
   666.0    660.4    4.500    643.6    644.2    1.442   1931.0   1930.3    3.520 
   668.0    662.6    4.650    644.6    645.3    1.452   1934.0   1932.6    3.510 
   670.0    664.8    4.420    645.6    646.5    1.372   1937.0   1934.9    3.610 
   672.0    667.0    4.520    646.6    647.5    1.237   1940.0   1937.0    3.590 
   674.0    669.0    4.460    647.6    648.5    1.296   1943.0   1938.7    3.590 
   676.0    670.9    4.400    648.6    649.3    1.314   1946.0   1940.4    3.530 
   678.0    672.7    4.260    649.6    650.1    1.384   1949.0   1942.3    3.460 
   680.0    674.6    4.140    650.6    651.0    1.319   1952.0   1944.3    3.670 
   682.0    676.5    4.150    651.6    651.8    1.236   1955.0   1946.4    3.920 
   684.0    678.3    4.030    652.6    652.6    1.194   1958.0   1948.4    3.910 
   686.0    680.2    4.130    653.6    653.4    1.160   1961.0   1951.0    3.800 
   688.0    682.1    3.950    654.6    654.3    1.088   1964.0   1955.2    3.750 
   690.0    683.9    3.700    655.6    655.1    0.985   1967.0   1959.5    3.720 
   692.0    685.8    3.710    656.6    655.9    0.997   1970.0   1963.7    3.580 
   694.0    687.7    3.640    657.6    656.8    1.097   1973.0   1968.0    3.450 
   696.0    689.5    3.500    658.6    657.6    1.076   1976.0   1972.2    3.420 
   698.0    692.1    3.570    659.6    658.4    1.052   1979.0   1976.4    3.320 
   700.0    695.2    3.650    660.6    659.3    1.038   1982.0   1980.7    3.330 
   702.0    698.3    3.760    661.6    660.1    0.938   1985.0   1984.9    3.730 
   704.0    701.3    3.840    662.6    660.9    0.850   1988.0   1987.9    3.910 
   706.0    704.4    3.930    663.6    661.8    0.828   1991.0   1991.0    3.750 
   708.0    707.5    4.030    664.6    662.6    0.754   1994.0   1994.0    3.760 
   710.0    710.6    3.980    665.6    663.4    0.840   1997.0   1997.0    3.780 
   712.0    713.5    4.060    666.6    664.2    0.912 
   714.0    715.5    4.290    667.6    665.1    0.880 
   716.0    717.4    4.610    668.6    665.9    0.702 
   718.0    719.3    4.750    669.6    666.7    0.552 
   720.0    721.2    4.660    670.6    667.6    0.383 
   722.0    723.1    4.650    671.6    668.6    0.336 
   724.0    725.0    4.440    672.6    670.0    0.390 
   726.0    726.9    4.320    673.6    671.5    0.375 
   728.0    728.8    4.160    674.6    673.0    0.295 
   730.0    730.7    4.160    675.6    674.4    0.175 
   732.0    732.6    4.020    676.6    675.9    0.034 
   734.0    734.5    4.150    677.6    677.4   -0.058 
   736.0    736.5    4.190    678.6    678.8   -0.172 
   738.0    738.4    4.210    679.6    680.3   -0.322 
   740.0    740.3    4.110    680.6    681.8   -0.334 
   742.0    742.2    4.170    681.6    683.3   -0.473 
   744.0    744.1    4.480    682.6    684.7   -0.737 
   746.0    746.0    4.670    683.6    686.2   -1.128 
   748.0    748.0    4.590    684.6    687.7   -1.487 
   750.0    749.9    4.600    685.6    689.1   -1.465 
