ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0
557.22,-55.71,741.62,,626.5,-4.32,1005.99,1354.29,403.12,-61.94,626.5,-4.31,61.62,752.32,55.5127,32.6706,19.2678,200.27,155.45,1.00848706,1.00848706,5.62,19.84,16.56,83.48,1.25,,0
281.94,-176.59,740.44,,538.06,-24.02,1244.75,2076,64.88,-289.65,538.03,-24.01,4.53,683.4,52.2666,39.0663,31.5301,377.94,335.59,1.038143923,1.038143923,5.02,17.88,15.55,82.25,1.32,,0
242,-20.2,740.81,,306,-5.03,1190.25,1698.01,282.75,-13.48,306,-5.06,51.73,534.14,59.8974,44.7953,31.5211,410.12,311.28,0.946922793,0.946922793,6.71,18.19,12.87,66.98,0.97,,1
366.75,-1.67,637.25,,411.62,-2.66,1087.44,1359.21,339.25,-4.23,356.38,-0.64,78.21,579.79,69.0544,40.6145,24.0512,335.84,241.55,1.389419727,1.389419727,6.78,17.99,12.86,74.54,0.96,,1
394,-10.26,603.94,,407.62,-4.78,915.56,1601.46,406.62,-6.42,407.56,-4.77,53.12,615.57,72.8726,42.3174,29.2227,414.39,331.44,2.214207107,2.214207107,6.43,17.85,14.32,81.46,0.98,,1
366.75,-1.67,637.25,,411.62,-2.66,1087.44,1359.21,339.25,-4.23,356.38,-0.64,78.21,579.79,69.0544,40.6145,24.0512,335.84,241.55,1.389419727,1.389419727,6.78,17.99,12.86,74.54,0.96,,1
142.19,-10.67,458.44,,191.38,0.01,344.56,1908.75,191.38,0.01,85.81,-39.55,64.93,221.99,43.3188,20.4258,20.1506,42.2,22.85,0.036161036,0.036161036,6.72,14.96,11.81,85.08,0.94,,0
